브랜드,본부,팀,대분류,중분류,소분류,계정과목,금액,년월,비고
공통,Business Development,Business Development,기타,물류비,지급수수료_퀵서비스,지급수수료_퀵서비스,37.7,202412,
공통,Business Development,Business Development,기타,시내교통비,여비교통비_시내교통비,여비교통비_시내교통비,1033.08,202412,
공통,Business Development,Business Development,기타,접대비,접대비,접대비,9203.0,202412,
공통,Business Operation,Business Operation,기타,시내교통비,여비교통비_시내교통비,여비교통비_시내교통비,40.17,202412,
공통,Business Operation,Business Operation,기타,접대비,접대비,접대비,2892.7,202412,
공통,Business Operation,Business Operation,복리후생비,기타 복리후생비,복리후생비_복리,복리후생비_복리,63.51,202412,
공통,Business Operation,Business Operation,복리후생비,식대,복리후생비_식대,복리후생비_식대,189.0,202412,
공통,Business Operation,Business Operation,복리후생비,주재원,복리후생비_외국인직원복리,복리후생비_외국인직원복리,49184.2,202412,
공통,Business Plan,Business Plan,감가상각비,비품,감가상각비_기계장치,감가상각비_기계장치,258.12,202412,
공통,Business Plan,Business Plan,기타,시내교통비,여비교통비_시내교통비,여비교통비_시내교통비,187.81,202412,
공통,Business Plan,Business Plan,복리후생비,공적금,복리후생비_공적금,복리후생비_공적금,3300.0,202412,
공통,Business Plan,Business Plan,복리후생비,사회보험,복리후생비_사회보험,복리후생비_사회보험,7056.5,202412,
공통,Business Plan,Business Plan,인건비,"급여,성과급",인건비,인건비,36666.67,202412,
공통,Client Service,Client Service,기타,물류비,지급수수료_퀵서비스,지급수수료_퀵서비스,790.96,202412,
공통,IT,IT,감가상각비,비품,감가상각비_공기구비품,감가상각비_공기구비품,36.88,202412,
공통,IT,IT,감가상각비,비품,감가상각비_기계장치,감가상각비_기계장치,46840.87,202412,
공통,IT,IT,감가상각비,소프트웨어,감가상각비_소프트웨어,감가상각비_소프트웨어,111529.03,202412,
공통,IT,IT,감가상각비,소프트웨어,감가상각비_홈페이지등,감가상각비_홈페이지등,1185.69,202412,
공통,IT,IT,기타,물류비,지급수수료_퀵서비스,지급수수료_퀵서비스,95.06,202412,
공통,IT,IT,기타,사무용품비,소모품비_사무용품,소모품비_사무용품,8191.42,202412,
공통,IT,IT,기타,시내교통비,여비교통비_시내교통비,여비교통비_시내교통비,318.18,202412,
공통,IT,IT,기타,접대비,접대비,접대비,210.9,202412,
공통,IT,IT,복리후생비,공적금,복리후생비_공적금,복리후생비_공적금,23415.0,202412,
공통,IT,IT,복리후생비,기타 복리후생비,복리후생비_복리,복리후생비_복리,5636.75,202412,
공통,IT,IT,복리후생비,사회보험,복리후생비_사회보험,복리후생비_사회보험,50072.32,202412,
공통,IT,IT,복리후생비,식대,복리후생비_식대,복리후생비_식대,80.0,202412,
공통,IT,IT,인건비,"급여,성과급",인건비,인건비,338422.48,202412,
공통,IT,IT,지급수수료,지급수수료(중),지급수수료_지급용역료,지급수수료_지급용역료,251440.97,202412,
공통,MD,MD,기타,물류비,지급수수료_운송비,지급수수료_운송비,45.76,202412,
공통,MD,MD,기타,물류비,지급수수료_퀵서비스,지급수수료_퀵서비스,640.18,202412,
공통,MD,MD,기타,사무용품비,소모품비_사무용품,소모품비_사무용품,3640.76,202412,
공통,MD,MD,기타,사무용품비,소모품비_포장소모품,소모품비_포장소모품,4588.0,202412,
공통,MD,MD,기타,시내교통비,여비교통비_시내교통비,여비교통비_시내교통비,2604.45,202412,
공통,MD,MD,복리후생비,기타 복리후생비,복리후생비_복리,복리후생비_복리,23434.42,202412,
공통,MD,MD,복리후생비,식대,복리후생비_식대,복리후생비_식대,3724.82,202412,
공통,MD,MD,복리후생비,주재원,복리후생비_외국인직원복리,복리후생비_외국인직원복리,59690.82,202412,
공통,MD,MD,지급수수료,지급수수료(중),지급수수료_지급용역료,지급수수료_지급용역료,1976.64,202412,
공통,MGT,MGT,감가상각비,비품,감가상각비_공기구비품,감가상각비_공기구비품,1022.21,202412,
공통,MGT,MGT,감가상각비,비품,감가상각비_기계장치,감가상각비_기계장치,2123.9,202412,
공통,MGT,MGT,기타,사무용품비,소모품비_사무용품,소모품비_사무용품,1028.0,202412,
공통,MGT,MGT,기타,시내교통비,여비교통비_시내교통비,여비교통비_시내교통비,9220.32,202412,
공통,MGT,MGT,기타,접대비,접대비,접대비,24925.0,202412,
공통,MGT,MGT,복리후생비,식대,복리후생비_식대,복리후생비_식대,16245.21,202412,
공통,MGT,MGT,복리후생비,주재원,복리후생비_외국인직원복리,복리후생비_외국인직원복리,117047.06,202412,
공통,MGT,MGT,인건비,"급여,성과급",인건비,인건비,480512.04,202412,
공통,MGT,MGT,출장비,국내출장비,여비교통비_국내출장비,여비교통비_국내출장비,24806.76,202412,
공통,MP(상품기획),MP(상품기획),기타,시내교통비,여비교통비_시내교통비,여비교통비_시내교통비,109.72,202412,
공통,MP(상품기획),MP(상품기획),복리후생비,기타 복리후생비,복리후생비_복리,복리후생비_복리,874.1,202412,
공통,Process Inovation,Process Inovation,감가상각비,소프트웨어,감가상각비_소프트웨어,감가상각비_소프트웨어,46925.46,202412,
공통,Process Inovation,Process Inovation,기타,시내교통비,여비교통비_시내교통비,여비교통비_시내교통비,120.19,202412,
