브랜드,본부,팀,대분류,중분류,소분류,계정과목,금액,년월,비고
공통,Business Development,Business Development,기타,물류비,지급수수료_퀵서비스,지급수수료_퀵서비스,87.96,202507,
공통,Business Development,Business Development,기타,시내교통비,여비교통비_시내교통비,여비교통비_시내교통비,279.9,202507,
공통,Business Development,Business Development,기타,접대비,접대비,접대비,464.0,202507,
공통,Business Development,Business Development,임차료,관리비,지급임차료_관리비,지급임차료_관리비,-10736.63,202507,
공통,Business Operation,Business Operation,감가상각비,비품,감가상각비_기계장치,감가상각비_기계장치,158.19,202507,
공통,Business Operation,Business Operation,기타,시내교통비,여비교통비_시내교통비,여비교통비_시내교통비,112.61,202507,
공통,Business Operation,Business Operation,복리후생비,공적금,복리후생비_공적금,복리후생비_공적금,3480.0,202507,
공통,Business Operation,Business Operation,복리후생비,사회보험,복리후생비_사회보험,복리후생비_사회보험,7453.0,202507,
공통,Business Operation,Business Operation,복리후생비,주재원,복리후생비_외국인직원복리,복리후생비_외국인직원복리,73099.85,202507,
공통,Business Operation,Business Operation,인건비,"급여,성과급",인건비,인건비,134213.47,202507,
공통,Business Operation,Business Operation,지급수수료,지급수수료(중),지급수수료_지급용역료,지급수수료_지급용역료,77596.2,202507,
공통,Business Operation,Business Operation,출장비,국내출장비,여비교통비_국내출장비,여비교통비_국내출장비,18478.91,202507,
공통,Business Operation,Business Operation,출장비,해외출장비,여비교통비_해외출장비,여비교통비_해외출장비,10529.7,202507,
공통,Business Plan,Business Plan,복리후생비,공적금,복리후생비_공적금,복리후생비_공적금,3300.0,202507,
공통,Business Plan,Business Plan,복리후생비,사회보험,복리후생비_사회보험,복리후생비_사회보험,7067.5,202507,
공통,Business Plan,Business Plan,인건비,"급여,성과급",인건비,인건비,40058.33,202507,
공통,Internal Audit,Internal Audit,복리후생비,공적금,복리후생비_공적금,복리후생비_공적금,4080.0,202507,
공통,Internal Audit,Internal Audit,복리후생비,사회보험,복리후생비_사회보험,복리후생비_사회보험,8738.0,202507,
공통,Internal Audit,Internal Audit,인건비,"급여,성과급",인건비,인건비,65234.38,202507,
공통,IT,IT,감가상각비,비품,감가상각비_공기구비품,감가상각비_공기구비품,36.87,202507,
공통,IT,IT,감가상각비,비품,감가상각비_기계장치,감가상각비_기계장치,54883.45,202507,
공통,IT,IT,감가상각비,소프트웨어,감가상각비_소프트웨어,감가상각비_소프트웨어,116490.3,202507,
공통,IT,IT,감가상각비,소프트웨어,감가상각비_홈페이지등,감가상각비_홈페이지등,1185.69,202507,
공통,IT,IT,기타,물류비,지급수수료_퀵서비스,지급수수료_퀵서비스,71.08,202507,
공통,IT,IT,기타,사무용품비,소모품비_사무용품,소모품비_사무용품,1439.82,202507,
공통,IT,IT,기타,시내교통비,여비교통비_시내교통비,여비교통비_시내교통비,468.27,202507,
공통,IT,IT,기타,접대비,접대비,접대비,1070.2,202507,
공통,IT,IT,복리후생비,공적금,복리후생비_공적금,복리후생비_공적금,23415.0,202507,
공통,IT,IT,복리후생비,사회보험,복리후생비_사회보험,복리후생비_사회보험,50150.38,202507,
공통,IT,IT,인건비,"급여,성과급",인건비,인건비,252254.13,202507,
공통,IT,IT,지급수수료,IT비용,지급수수료_지급용역료,지급수수료_지급용역료,812049.06,202507,
공통,MD,MD,기타,물류비,지급수수료_퀵서비스,지급수수료_퀵서비스,771.77,202507,
공통,MD,MD,기타,사무용품비,소모품비_사무용품,소모품비_사무용품,1949.2,202507,
공통,MD,MD,기타,시내교통비,여비교통비_시내교통비,여비교통비_시내교통비,2599.63,202507,
공통,MD,MD,복리후생비,기타 복리후생비,복리후생비_복리,복리후생비_복리,3911.5,202507,
공통,MD,MD,복리후생비,식대,복리후생비_식대,복리후생비_식대,815.5,202507,
공통,MD,MD,복리후생비,주재원,복리후생비_외국인직원복리,복리후생비_외국인직원복리,131927.63,202507,
공통,MD,MD,지급수수료,지급수수료(중),지급수수료_지급용역료,지급수수료_지급용역료,1976.64,202507,
공통,MGT,MGT,감가상각비,비품,감가상각비_공기구비품,감가상각비_공기구비품,1022.18,202507,
공통,MGT,MGT,감가상각비,비품,감가상각비_기계장치,감가상각비_기계장치,2123.92,202507,
공통,MGT,MGT,기타,시내교통비,여비교통비_시내교통비,여비교통비_시내교통비,13835.1,202507,
공통,MGT,MGT,기타,접대비,접대비,접대비,12862.0,202507,
공통,MGT,MGT,복리후생비,식대,복리후생비_식대,복리후생비_식대,8931.0,202507,
공통,MGT,MGT,복리후생비,주재원,복리후생비_외국인직원복리,복리후생비_외국인직원복리,181305.22,202507,
공통,MGT,MGT,인건비,"급여,성과급",인건비,인건비,504439.93,202507,
공통,MGT,MGT,출장비,국내출장비,여비교통비_국내출장비,여비교통비_국내출장비,22297.2,202507,
공통,MGT,MGT,출장비,해외출장비,여비교통비_해외출장비,여비교통비_해외출장비,14551.38,202507,
공통,MO,MO,기타,물류비,지급수수료_퀵서비스,지급수수료_퀵서비스,12.57,202507,
공통,MO,MO,기타,시내교통비,여비교통비_시내교통비,여비교통비_시내교통비,378.22,202507,
공통,MO,MO,복리후생비,기타 복리후생비,복리후생비_복리,복리후생비_복리,1200.0,202507,
공통,Process Inovation,Process Inovation,감가상각비,소프트웨어,감가상각비_소프트웨어,감가상각비_소프트웨어,46925.47,202507,
공통,Process Inovation,Process Inovation,기타,시내교통비,여비교통비_시내교통비,여비교통비_시내교통비,55.73,202507,
공통,Process Inovation,Process Inovation,복리후생비,공적금,복리후생비_공적금,복리후생비_공적금,13850.0,202507,
공통,Process Inovation,Process Inovation,복리후생비,사회보험,복리후생비_사회보험,복리후생비_사회보험,29660.55,202507,
공통,Process Inovation,Process Inovation,인건비,"급여,성과급",인건비,인건비,175860.2,202507,
공통,Process Inovation,Process Inovation,지급수수료,지급수수료(중),지급수수료_지급용역료,지급수수료_지급용역료,183367.87,202507,
공통,Supply Chain,Supply Chain,감가상각비,비품,감가상각비_기계장치,감가상각비_기계장치,4892.22,202507,
공통,Supply Chain,Supply Chain,광고비,샘플사용,간접 샘플 수수료,간접 샘플 수수료,64981.95,202507,
공통,Supply Chain,Supply Chain,기타,물류비,지급수수료_운송비,지급수수료_운송비,30000.0,202507,
공통,Supply Chain,Supply Chain,기타,물류비,지급수수료_퀵서비스,지급수수료_퀵서비스,2053.47,202507,
공통,Supply Chain,Supply Chain,기타,사무용품비,소모품비_사무용품,소모품비_사무용품,1946.9,202507,
공통,Supply Chain,Supply Chain,기타,시내교통비,여비교통비_시내교통비,여비교통비_시내교통비,86.09,202507,
공통,Supply Chain,Supply Chain,복리후생비,공적금,복리후생비_공적금,복리후생비_공적금,43139.0,202507,
공통,Supply Chain,Supply Chain,복리후생비,기타 복리후생비,복리후생비_복리,복리후생비_복리,11485.0,202507,
공통,Supply Chain,Supply Chain,복리후생비,사회보험,복리후생비_사회보험,복리후생비_사회보험,92429.04,202507,
공통,Supply Chain,Supply Chain,인건비,"급여,성과급",인건비,인건비,514619.25,202507,
공통,Supply Chain,Supply Chain,인건비,퇴직급여,퇴직급여,퇴직급여,25777.05,202507,
공통,Supply Chain,Supply Chain,인건비,"파트타임,인턴",노무비,노무비,58423.08,202507,
공통,Supply Chain,Supply Chain,지급수수료,지급수수료(중),지급수수료_지급용역료,지급수수료_지급용역료,-113006.27,202507,
공통,Supply Chain,Supply Chain,출장비,국내출장비,여비교통비_국내출장비,여비교통비_국내출장비,2021.33,202507,
공통,VMD,VMD,기타,물류비,지급수수료_퀵서비스,지급수수료_퀵서비스,62.57,202507,
