브랜드,본부,팀,대분류,중분류,소분류,계정과목,금액,년월,비고
DX,MD,MD,복리후생비,공적금,복리후생비_공적금,복리후생비_공적금,15453.0,202411,
DX,MD,MD,복리후생비,사회보험,복리후생비_사회보험,복리후생비_사회보험,33044.55,202411,
DX,MD,MD,인건비,"급여,성과급",인건비,인건비,229150.5,202411,
DX,MD,MD,출장비,국내출장비,여비교통비_국내출장비,여비교통비_국내출장비,13848.08,202411,
DX,MD,MD,출장비,해외출장비,여비교통비_해외출장비,여비교통비_해외출장비,873.2,202411,
DX,VMD,VMD,복리후생비,공적금,복리후생비_공적금,복리후생비_공적금,6307.0,202411,
DX,VMD,VMD,복리후생비,사회보험,복리후생비_사회보험,복리후생비_사회보험,13487.34,202411,
DX,VMD,VMD,인건비,"급여,성과급",인건비,인건비,52808.8,202411,
DX,VMD,VMD,인건비,"파트타임,인턴",노무비,노무비,4424.04,202411,
DX,VMD,VMD,출장비,국내출장비,여비교통비_국내출장비,여비교통비_국내출장비,6772.91,202411,
DX,리테일,리테일,복리후생비,공적금,복리후생비_공적금,복리후생비_공적금,5743.0,202411,
DX,리테일,리테일,복리후생비,사회보험,복리후생비_사회보험,복리후생비_사회보험,12280.93,202411,
DX,리테일,리테일,인건비,"급여,성과급",인건비,인건비,59184.4,202411,
DX,리테일,리테일,출장비,국내출장비,여비교통비_국내출장비,여비교통비_국내출장비,3422.45,202411,
DX,마케팅,마케팅,광고비,마케팅,광고선전비_MKT광고,광고선전비_MKT광고,4746520.31,202411,
DX,마케팅,마케팅,복리후생비,공적금,복리후생비_공적금,복리후생비_공적금,12540.0,202411,
DX,마케팅,마케팅,복리후생비,사회보험,복리후생비_사회보험,복리후생비_사회보험,26814.7,202411,
DX,마케팅,마케팅,인건비,"급여,성과급",인건비,인건비,130054.18,202411,
DX,마케팅,마케팅,출장비,국내출장비,여비교통비_국내출장비,여비교통비_국내출장비,9438.26,202411,
DX,온라인,온라인,복리후생비,공적금,복리후생비_공적금,복리후생비_공적금,10720.0,202411,
DX,온라인,온라인,복리후생비,사회보험,복리후생비_사회보험,복리후생비_사회보험,22925.16,202411,
DX,온라인,온라인,인건비,"급여,성과급",인건비,인건비,94875.19,202411,
DX,인테리어,인테리어,출장비,국내출장비,여비교통비_국내출장비,여비교통비_국내출장비,5414.53,202411,
DX,인테리어,인테리어,출장비,해외출장비,여비교통비_해외출장비,여비교통비_해외출장비,1982.97,202411,
