브랜드,본부,팀,대분류,중분류,소분류,계정과목,금액,년월,비고
DX,MD,MD,복리후생비,공적금,복리후생비_공적금,복리후생비_공적금,13920.0,202507,
DX,MD,MD,복리후생비,사회보험,복리후생비_사회보험,복리후생비_사회보험,29812.0,202507,
DX,MD,MD,인건비,"급여,성과급",인건비,인건비,319046.79,202507,
DX,MD,MD,출장비,국내출장비,여비교통비_국내출장비,여비교통비_국내출장비,12162.83,202507,
DX,MD,MD,출장비,해외출장비,여비교통비_해외출장비,여비교통비_해외출장비,29542.3,202507,
DX,MO,MO,출장비,국내출장비,여비교통비_국내출장비,여비교통비_국내출장비,6281.65,202507,
DX,MO,MO,출장비,해외출장비,여비교통비_해외출장비,여비교통비_해외출장비,6228.75,202507,
DX,VMD,VMD,감가상각비,비품,감가상각비_기계장치,감가상각비_기계장치,503.8,202507,
DX,VMD,VMD,복리후생비,공적금,복리후생비_공적금,복리후생비_공적금,8527.0,202507,
DX,VMD,VMD,복리후생비,사회보험,복리후생비_사회보험,복리후생비_사회보험,18262.86,202507,
DX,VMD,VMD,인건비,"급여,성과급",인건비,인건비,87512.73,202507,
DX,VMD,VMD,출장비,국내출장비,여비교통비_국내출장비,여비교통비_국내출장비,7822.74,202507,
DX,VMD,VMD,출장비,해외출장비,여비교통비_해외출장비,여비교통비_해외출장비,2610.68,202507,
DX,리테일,리테일,복리후생비,공적금,복리후생비_공적금,복리후생비_공적금,12185.0,202507,
DX,리테일,리테일,복리후생비,사회보험,복리후생비_사회보험,복리후생비_사회보험,26095.58,202507,
DX,리테일,리테일,인건비,"급여,성과급",인건비,인건비,150396.56,202507,
DX,리테일,리테일,출장비,국내출장비,여비교통비_국내출장비,여비교통비_국내출장비,9065.62,202507,
DX,마케팅,마케팅,광고비,마케팅,광고선전비_MKT광고,광고선전비_MKT광고,564071.23,202507,
DX,마케팅,마케팅,복리후생비,공적금,복리후생비_공적금,복리후생비_공적금,19620.0,202507,
DX,마케팅,마케팅,복리후생비,사회보험,복리후생비_사회보험,복리후생비_사회보험,42019.5,202507,
DX,마케팅,마케팅,인건비,"급여,성과급",인건비,인건비,231334.53,202507,
DX,마케팅,마케팅,출장비,국내출장비,여비교통비_국내출장비,여비교통비_국내출장비,7988.13,202507,
DX,마케팅,마케팅,출장비,해외출장비,여비교통비_해외출장비,여비교통비_해외출장비,5267.68,202507,
DX,온라인,온라인,복리후생비,공적금,복리후생비_공적금,복리후생비_공적금,10670.0,202507,
DX,온라인,온라인,복리후생비,사회보험,복리후생비_사회보험,복리후생비_사회보험,22852.7,202507,
DX,온라인,온라인,인건비,"급여,성과급",인건비,인건비,127247.0,202507,
DX,인테리어,인테리어,출장비,국내출장비,여비교통비_국내출장비,여비교통비_국내출장비,4136.04,202507,
