브랜드,본부,팀,대분류,중분류,소분류,계정과목,금액,년월,비고
KIDS,MD,MD,감가상각비,비품,감가상각비_기계장치,감가상각비_기계장치,2793.79,202404,
KIDS,MD,MD,광고비,샘플사용,간접 샘플 수수료,간접 샘플 수수료,1327.01,202404,
KIDS,MD,MD,복리후생비,공적금,복리후생비_공적금,복리후생비_공적금,8078.0,202404,
KIDS,MD,MD,복리후생비,사회보험,복리후생비_사회보험,복리후생비_사회보험,16666.06,202404,
KIDS,MD,MD,인건비,"급여,성과급",인건비,인건비,131297.33,202404,
KIDS,VMD,VMD,복리후생비,공적금,복리후생비_공적금,복리후생비_공적금,7795.0,202404,
KIDS,VMD,VMD,복리후생비,사회보험,복리후생비_사회보험,복리후생비_사회보험,16155.74,202404,
KIDS,VMD,VMD,인건비,"급여,성과급",인건비,인건비,101653.2,202404,
KIDS,VMD,VMD,출장비,국내출장비,여비교통비_국내출장비,여비교통비_국내출장비,5644.1,202404,
KIDS,VMD,VMD,출장비,해외출장비,여비교통비_해외출장비,여비교통비_해외출장비,1499.93,202404,
KIDS,Wholesale,Wholesale,감가상각비,비품,감가상각비_기계장치,감가상각비_기계장치,1035.29,202404,
KIDS,Wholesale,Wholesale,출장비,국내출장비,여비교통비_국내출장비,여비교통비_국내출장비,495.0,202404,
KIDS,리테일,리테일,복리후생비,공적금,복리후생비_공적금,복리후생비_공적금,3422.0,202404,
KIDS,리테일,리테일,복리후생비,사회보험,복리후생비_사회보험,복리후생비_사회보험,7136.49,202404,
KIDS,리테일,리테일,인건비,"급여,성과급",인건비,인건비,37389.33,202404,
KIDS,리테일,리테일,출장비,국내출장비,여비교통비_국내출장비,여비교통비_국내출장비,75.51,202404,
KIDS,마케팅,마케팅,광고비,마케팅,광고선전비_MKT광고,광고선전비_MKT광고,436065.59,202404,
KIDS,마케팅,마케팅,복리후생비,공적금,복리후생비_공적금,복리후생비_공적금,4543.0,202404,
KIDS,마케팅,마케팅,복리후생비,사회보험,복리후생비_사회보험,복리후생비_사회보험,9373.53,202404,
KIDS,마케팅,마케팅,인건비,"급여,성과급",인건비,인건비,59884.0,202404,
KIDS,마케팅,마케팅,출장비,국내출장비,여비교통비_국내출장비,여비교통비_국내출장비,215.5,202404,
KIDS,온라인,온라인,복리후생비,공적금,복리후생비_공적금,복리후생비_공적금,13347.0,202404,
KIDS,온라인,온라인,복리후생비,사회보험,복리후생비_사회보험,복리후생비_사회보험,27536.55,202404,
KIDS,온라인,온라인,인건비,"급여,성과급",인건비,인건비,202355.57,202404,
KIDS,인테리어,인테리어,복리후생비,공적금,복리후생비_공적금,복리후생비_공적금,3506.0,202404,
KIDS,인테리어,인테리어,복리후생비,사회보험,복리후생비_사회보험,복리후생비_사회보험,7232.61,202404,
KIDS,인테리어,인테리어,인건비,"급여,성과급",인건비,인건비,58690.73,202404,
