브랜드,본부,팀,대분류,중분류,소분류,계정과목,금액,년월,비고
MLB,Business Development,Business Development,감가상각비,비품,감가상각비_기계장치,감가상각비_기계장치,139.04,202405,
MLB,Business Development,Business Development,복리후생비,공적금,복리후생비_공적금,복리후생비_공적금,3458.0,202405,
MLB,Business Development,Business Development,복리후생비,사회보험,복리후생비_사회보험,복리후생비_사회보험,7421.52,202405,
MLB,Business Development,Business Development,인건비,"급여,성과급",인건비,인건비,39941.33,202405,
MLB,Business Development,Business Development,출장비,국내출장비,여비교통비_국내출장비,여비교통비_국내출장비,-35.61,202405,
MLB,MD,MD,감가상각비,비품,감가상각비_기계장치,감가상각비_기계장치,2884.35,202405,
MLB,MD,MD,광고비,샘플사용,간접 샘플 수수료,간접 샘플 수수료,-7793.58,202405,
MLB,MD,MD,복리후생비,공적금,복리후생비_공적금,복리후생비_공적금,40395.0,202405,
MLB,MD,MD,복리후생비,사회보험,복리후생비_사회보험,복리후생비_사회보험,86735.69,202405,
MLB,MD,MD,인건비,"급여,성과급",인건비,인건비,624320.0,202405,
MLB,MD,MD,출장비,국내출장비,여비교통비_국내출장비,여비교통비_국내출장비,43.35,202405,
MLB,MP(상품기획),MP(상품기획),복리후생비,공적금,복리후생비_공적금,복리후생비_공적금,6894.0,202405,
MLB,MP(상품기획),MP(상품기획),복리후생비,사회보험,복리후생비_사회보험,복리후생비_사회보험,14798.25,202405,
MLB,MP(상품기획),MP(상품기획),인건비,"급여,성과급",인건비,인건비,90013.33,202405,
MLB,VMD,VMD,감가상각비,비품,감가상각비_기계장치,감가상각비_기계장치,3582.68,202405,
MLB,VMD,VMD,복리후생비,공적금,복리후생비_공적금,복리후생비_공적금,15930.0,202405,
MLB,VMD,VMD,복리후생비,사회보험,복리후생비_사회보험,복리후생비_사회보험,34188.63,202405,
MLB,VMD,VMD,인건비,"급여,성과급",인건비,인건비,193887.45,202405,
MLB,VMD,VMD,인건비,"파트타임,인턴",노무비,노무비,3858.12,202405,
MLB,VMD,VMD,출장비,국내출장비,여비교통비_국내출장비,여비교통비_국내출장비,220.45,202405,
MLB,Wholesale,Wholesale,감가상각비,비품,감가상각비_기계장치,감가상각비_기계장치,746.43,202405,
MLB,Wholesale,Wholesale,복리후생비,공적금,복리후생비_공적금,복리후생비_공적금,38811.0,202405,
MLB,Wholesale,Wholesale,복리후생비,사회보험,복리후생비_사회보험,복리후생비_사회보험,83517.9,202405,
MLB,Wholesale,Wholesale,인건비,"급여,성과급",인건비,인건비,556502.44,202405,
MLB,Wholesale,Wholesale,출장비,국내출장비,여비교통비_국내출장비,여비교통비_국내출장비,10907.52,202405,
MLB,리테일,리테일,감가상각비,비품,감가상각비_기계장치,감가상각비_기계장치,365.84,202405,
MLB,리테일,리테일,복리후생비,공적금,복리후생비_공적금,복리후생비_공적금,15293.0,202405,
MLB,리테일,리테일,복리후생비,사회보험,복리후생비_사회보험,복리후생비_사회보험,32825.86,202405,
MLB,리테일,리테일,인건비,"급여,성과급",인건비,인건비,191318.91,202405,
MLB,마케팅,마케팅,감가상각비,비품,감가상각비_기계장치,감가상각비_기계장치,2870.4,202405,
MLB,마케팅,마케팅,광고비,마케팅,광고선전비_MKT광고,광고선전비_MKT광고,5178148.48,202405,
MLB,마케팅,마케팅,광고비,샘플사용,간접 샘플 수수료,간접 샘플 수수료,966.89,202405,
MLB,마케팅,마케팅,복리후생비,공적금,복리후생비_공적금,복리후생비_공적금,42303.0,202405,
MLB,마케팅,마케팅,복리후생비,사회보험,복리후생비_사회보험,복리후생비_사회보험,90796.63,202405,
MLB,마케팅,마케팅,인건비,"급여,성과급",인건비,인건비,603629.92,202405,
MLB,마케팅,마케팅,인건비,"파트타임,인턴",노무비,노무비,8544.7,202405,
MLB,마케팅,마케팅,출장비,국내출장비,여비교통비_국내출장비,여비교통비_국내출장비,-383.19,202405,
MLB,온라인,온라인,감가상각비,비품,감가상각비_기계장치,감가상각비_기계장치,2815.33,202405,
MLB,온라인,온라인,복리후생비,공적금,복리후생비_공적금,복리후생비_공적금,57670.0,202405,
MLB,온라인,온라인,복리후생비,사회보험,복리후생비_사회보험,복리후생비_사회보험,123780.55,202405,
MLB,온라인,온라인,인건비,"급여,성과급",인건비,인건비,821177.14,202405,
MLB,온라인,온라인,인건비,퇴직급여,퇴직급여,퇴직급여,196030.0,202405,
MLB,온라인,온라인,인건비,"파트타임,인턴",노무비,노무비,12200.89,202405,
MLB,온라인,온라인,출장비,국내출장비,여비교통비_국내출장비,여비교통비_국내출장비,2886.1,202405,
MLB,유통MD,유통MD,복리후생비,공적금,복리후생비_공적금,복리후생비_공적금,33811.0,202405,
MLB,유통MD,유통MD,복리후생비,사회보험,복리후생비_사회보험,복리후생비_사회보험,72861.02,202405,
MLB,유통MD,유통MD,인건비,"급여,성과급",인건비,인건비,414753.33,202405,
MLB,유통MD,유통MD,출장비,국내출장비,여비교통비_국내출장비,여비교통비_국내출장비,-54.49,202405,
MLB,인테리어,인테리어,감가상각비,비품,감가상각비_기계장치,감가상각비_기계장치,3348.21,202405,
