판매매출(V+),DISCOVERY,KIDS,MLB,,
Jan,"2,490,967","62,590,970","1,107,450,309",,
Feb,"2,177,011","19,076,664","535,372,030",,
Mar,"1,977,044","31,745,214","665,246,475",,
Apr,"2,134,276","29,758,591","652,833,667",,
May,"2,982,529","33,135,338","721,255,069",,
Jun,"2,787,183","22,150,946","552,730,387",,
Jul,"2,983,712","21,020,921","522,527,235",,
Aug,"7,020,646","29,533,459","590,182,141",,
Sep,"5,366,055","25,058,633","552,479,892",,
Oct,"9,354,282","42,623,351","896,298,588",,
Nov,,,,,
Dec,,,,,
