사업부(조정),부서명,대분류,중분류,소분류,합계 : 202401,합계 : 202402,합계 : 202403,합계 : 202404,합계 : 202405,합계 : 202406,합계 : 202407,합계 : 202408,합계 : 202409,합계 : 202411,합계 : 202410,합계 : 202412
DX,MD,광고비,마케팅,광고선전비_MKT광고,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
DX,MD,광고비,샘플사용,간접 샘플 수수료,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
DX,MD,복리후생비,공적금,복리후생비_공적금,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"7,303.00","11,733.00","15,453.00","11,733.00","14,351.00"
DX,MD,복리후생비,사회보험,복리후생비_사회보험,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"15,616.02","25,089.95","33,044.55","25,089.95","30,689.03"
DX,MD,인건비,"급여,성과급",인건비,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"176,762.19","176,784.03","229,150.50","204,836.15","215,787.80"
DX,MD,출장비,국내출장비,여비교통비_국내출장비,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"3,703.00","-2,356.88","13,848.08","13,204.55","13,515.44"
DX,MD,출장비,해외출장비,여비교통비_해외출장비,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"6,043.40","-4,011.00",873.20,"32,399.98","57,627.32"
DX,VMD,복리후생비,공적금,복리후생비_공적금,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"3,967.00","3,967.00","6,307.00","3,967.00","8,527.00"
DX,VMD,복리후생비,사회보험,복리후생비_사회보험,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"8,483.64","8,483.64","13,487.34","8,483.64","18,234.44"
DX,VMD,인건비,"급여,성과급",인건비,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"34,298.53","29,458.27","52,808.80","29,458.27","70,585.81"
