사업부(조정),부서명,대분류,중분류,Cost Elem desc,합계 : 202501,합계 : 202502,합계 : 202503,합계 : 202504,합계 : 202505,합계 : 202506,합계 : 202507,합계 : 202508,합계 : 202509, 합계 : 202510 
DX,MD,감가상각비,비품,감가상각비_공기구비품,0,0,0,0,0,0,0,0,0,38.29
DX,MD,감가상각비,비품,감가상각비_기계장치,0,0,0,0,0,0,0,"1,531.03","1,531.02","2,868.95"
DX,MD,광고비,샘플사용,간접 샘플 수수료,0,0,0,0,0,0,0,0,0,"1,389.20"
DX,MD,복리후생비,공적금,복리후생비_공적금,"14,351.00","14,351.00","14,351.00","14,351.00","6,720.00","10,560.00","13,920.00","12,940.00","11,648.00","15,396.00"
DX,MD,복리후생비,사회보험,복리후생비_사회보험,"30,736.88","30,736.88","30,736.88","30,736.88","14,392.00","22,616.00","29,812.00","27,715.40","24,945.45","32,973.61"
DX,MD,수주회,수주회,광고비_수주회,0,0,0,0,0,0,0,0,0,0
DX,MD,인건비,"급여,성과급",인건비,"362,706.91","253,868.00","545,650.14","365,184.68","154,074.80","190,088.31","319,046.79","390,451.98","312,840.33","395,153.54"
DX,MD,인건비,"파트타임,인턴",노무비,"3,781.52",153.19,"3,702.91","5,293.32","3,932.70","2,572.08",0,"2,797.84","2,646.66","2,797.84"
DX,MD,출장비,국내출장비,여비교통비_국내출장비,129.14,118.35,0,0,0,0,"12,162.83",776.54,"6,758.50","10,971.32"
DX,MD,출장비,해외출장비,여비교통비_해외출장비,"27,519.85","10,218.47","6,252.30",0,"5,965.00","7,747.36","29,542.30","41,133.70","23,503.40","23,221.84"
DX,MO,감가상각비,비품,감가상각비_기계장치,0,0,0,0,0,0,0,484.54,484.54,484.54
DX,MO,출장비,국내출장비,여비교통비_국내출장비,458.81,0,"4,242.62","5,008.26",-0.01,0,"6,281.65",391.33,973.8,0
DX,MO,출장비,해외출장비,여비교통비_해외출장비,0,"6,236.33",0,0,0,"2,881.72","6,228.75","13,660.38","15,972.26",0.01
DX,VMD,감가상각비,비품,감가상각비_기계장치,0,0,0,503.81,503.8,503.81,503.8,"1,815.65","1,815.65","1,815.67"
DX,VMD,복리후생비,공적금,복리후생비_공적금,"8,527.00","8,527.00","8,527.00","8,527.00","8,527.00","8,527.00","8,527.00","12,393.00","12,068.00","11,976.00"
DX,VMD,복리후생비,사회보험,복리후생비_사회보험,"18,262.86","18,262.86","18,262.86","18,262.86","18,262.86","18,262.86","18,262.86","26,543.04","25,844.95","25,649.11"
DX,VMD,인건비,"급여,성과급",인건비,"129,879.85","88,677.33","200,396.97","87,512.73","87,512.73","88,664.22","87,512.73","102,649.17","111,438.57","118,546.07"
DX,VMD,인건비,"파트타임,인턴",노무비,"4,414.59","1,693.35","3,876.00","2,439.80","2,041.94",0,0,"1,286.04","3,015.17","2,845.09"
DX,VMD,출장비,국내출장비,여비교통비_국내출장비,"4,008.53",352.83,"4,211.97","9,892.18","3,524.52","12,538.57","7,822.74",855.69,"8,399.70","5,484.16"
DX,VMD,출장비,해외출장비,여비교통비_해외출장비,"8,644.68",0,"2,473.75",0,0,0,"2,610.68","9,156.24",0,0
DX,리테일,감가상각비,비품,감가상각비_기계장치,0,0,0,0,0,0,0,496.49,496.48,496.49
DX,리테일,복리후생비,공적금,복리후생비_공적금,"9,943.00","9,943.00","9,943.00","13,783.00","13,783.00","9,353.00","12,185.00","22,455.00","17,596.00","19,452.00"
DX,리테일,복리후생비,사회보험,복리후생비_사회보험,"21,295.08","21,295.08","21,295.08","29,519.08","29,519.08","20,030.38","26,095.58","48,093.32","37,681.95","41,657.44"
DX,리테일,인건비,"급여,성과급",인건비,"217,826.00","124,472.00","368,658.13","145,459.15","203,402.66","109,579.98","150,396.56","206,505.53","192,528.20","214,522.84"
DX,리테일,출장비,국내출장비,여비교통비_국내출장비,0,0,0,0,0,"5,403.77","9,065.62","7,171.01","3,943.21","8,345.43"
DX,마케팅,광고비,마케팅,광고선전비_MKT광고,"2,040,382.01","1,483,169.57","1,521,502.11","1,747,705.28","3,452,921.23","3,444,342.90","564,071.23","2,870,925.89","9,698,892.00","5,396,085.99"
DX,마케팅,복리후생비,공적금,복리후생비_공적금,"15,060.00","21,540.00","21,540.00","21,540.00","17,220.00","19,620.00","19,620.00","24,296.00","23,416.00","20,684.00"
DX,마케팅,복리후생비,사회보험,복리후생비_사회보험,"32,253.50","46,131.50","46,131.50","46,131.50","36,879.50","42,019.50","42,019.50","52,037.18","50,149.09","44,299.25"
DX,마케팅,수주회,수주회,광고비_수주회,0,"490,550.52",0,0,0,0,0,0,0,"797,025.50"
DX,마케팅,인건비,"급여,성과급",인건비,"298,336.84","243,905.33","419,511.22","223,066.47","191,730.66","213,417.87","231,334.53","242,729.81","200,685.88","194,632.20"
DX,마케팅,출장비,국내출장비,여비교통비_국내출장비,"7,757.11",282,0,0,0,"2,027.18","7,988.13",600,"4,437.65","23,510.50"
DX,마케팅,출장비,해외출장비,여비교통비_해외출장비,"2,767.34","5,700.49",0,0,0,0,"5,267.68",0,0,"1,514.00"
DX,온라인,광고비,샘플사용,직접 샘플 수수료,0,0,0,0,0,0,0,0,0,0
DX,온라인,복리후생비,공적금,복리후생비_공적금,"10,720.00","10,720.00","15,100.00","15,100.00","10,670.00","10,670.00","10,670.00","10,670.00","14,768.00","10,716.00"
DX,온라인,복리후생비,사회보험,복리후생비_사회보험,"22,960.90","22,960.90","32,341.40","32,341.40","22,852.70","22,852.70","22,852.70","22,852.70","31,627.45","22,950.61"
DX,온라인,인건비,"급여,성과급",인건비,"226,057.91","132,793.33","196,979.88","214,992.28","120,002.73","121,581.72","127,247.00","120,002.73","141,829.65","161,019.25"
DX,인테리어,출장비,국내출장비,여비교통비_국내출장비,"2,515.58",0,0,"14,091.99","2,766.45","15,654.00","4,136.04","3,686.00","3,386.13","4,434.05"
KIDS,MD,감가상각비,비품,감가상각비_기계장치,946.92,946.93,946.86,946.92,946.93,946.92,946.92,"1,832.31","1,832.38","1,832.35"
KIDS,MD,광고비,샘플사용,간접 샘플 수수료,0,0,0,0,0,0,0,0,0,0
KIDS,MD,복리후생비,공적금,복리후생비_공적금,"14,995.00","14,995.00","19,425.00","18,110.00","15,950.00","15,950.00","15,950.00","19,452.00","19,331.00","19,239.00"
KIDS,MD,복리후생비,사회보험,복리후생비_사회보험,"32,114.90","32,114.90","41,603.60","38,786.70","34,160.70","34,160.70","34,160.70","41,660.10","41,398.49","41,202.65"
KIDS,MD,인건비,"급여,성과급",인건비,"259,690.60","178,435.20","134,363.80","195,116.66","163,222.53","183,211.23","180,831.87","193,356.47","189,599.02","174,993.75"
KIDS,MD,출장비,국내출장비,여비교통비_국내출장비,0,0,531,0,"7,204.38","1,168.93","3,177.79",0,125.05,0
KIDS,MD,출장비,해외출장비,여비교통비_해외출장비,0,0,"9,201.36","14,163.12",0,"27,073.14","4,660.16",0,"19,222.25",0
KIDS,VMD,감가상각비,비품,감가상각비_기계장치,"1,096.26","1,096.26","1,096.26","1,096.28","1,096.26","1,096.26","1,096.26",215.59,215.58,215.59
KIDS,VMD,복리후생비,공적금,복리후생비_공적금,"6,399.00","6,399.00","6,399.00","6,399.00","6,399.00","6,399.00","6,399.00","8,553.00","7,476.00","7,476.00"
KIDS,VMD,복리후생비,사회보험,복리후생비_사회보험,"13,727.31","13,727.31","13,727.31","13,727.31","13,727.31","13,727.31","13,727.31","18,290.43","16,045.96","16,021.24"
KIDS,VMD,인건비,"급여,성과급",인건비,"111,499.20","69,966.67","19,401.60","70,766.13","70,766.13","71,697.27","70,766.13","72,775.30","67,267.15","69,835.00"
KIDS,VMD,출장비,국내출장비,여비교통비_국내출장비,0,"22,235.54","17,654.74","12,788.54","17,372.16","4,192.52","18,345.07","19,766.87","27,719.65","6,066.18"
KIDS,VMD,출장비,해외출장비,여비교통비_해외출장비,0,0,0,0,0,0,0,0,0,696.17
KIDS,Wholesale,감가상각비,비품,감가상각비_기계장치,403.14,403.16,403.14,403.14,403.16,403.14,0,811.99,812.01,811.99
KIDS,Wholesale,광고비,샘플사용,간접 샘플 수수료,0,0,0,0,0,0,0,0,0,0
KIDS,Wholesale,복리후생비,공적금,복리후생비_공적금,"8,973.00","8,973.00","8,973.00","9,933.00","11,613.00","15,381.00","9,590.00","10,670.00","10,808.00","10,716.00"
KIDS,Wholesale,복리후생비,사회보험,복리후생비_사회보험,"19,443.56","19,443.56","19,443.56","21,499.56","24,870.37","32,940.17","20,539.70","22,852.70","23,146.45","22,950.61"
KIDS,Wholesale,수주회,수주회,광고비_수주회,0,0,0,0,0,0,0,0,0,0
KIDS,Wholesale,인건비,"급여,성과급",인건비,"192,667.00","121,524.00","385,972.80","122,478.67","131,789.67","152,770.76","138,605.13","142,667.20","139,663.68","108,432.99"
KIDS,Wholesale,출장비,국내출장비,여비교통비_국내출장비,"1,302.86","11,529.82","10,808.40","6,430.71","14,686.38","1,750.00","5,535.84","6,923.98","10,883.80","4,770.93"
KIDS,리테일,감가상각비,비품,감가상각비_기계장치,0,0,0,0,0,0,0,646.75,646.76,646.75
KIDS,리테일,복리후생비,공적금,복리후생비_공적금,"7,670.00","7,670.00","7,670.00","7,670.00","11,690.00","11,690.00","11,690.00","11,982.00","10,988.00","10,896.00"
KIDS,리테일,복리후생비,사회보험,복리후생비_사회보험,"16,526.39","16,526.39","16,526.39","16,526.39","25,135.89","25,135.89","25,135.89","25,563.71","23,531.95","23,336.11"
KIDS,리테일,인건비,"급여,성과급",인건비,"183,030.42","176,336.00","200,632.52","178,547.86","189,765.87","190,841.73","201,765.87","201,999.27","187,459.00","185,386.25"
KIDS,리테일,출장비,국내출장비,여비교통비_국내출장비,738,"2,760.24",0,542.36,"2,374.74","2,392.26","4,505.30","1,162.75","5,665.47","1,040.80"
KIDS,마케팅,광고비,마케팅,광고선전비_MKT광고,"1,180,411.98","1,012,785.23","1,074,654.92","1,550,411.21","1,578,007.02","1,052,265.83","1,517,361.77","1,412,957.94","1,793,238.67","1,828,484.43"
KIDS,마케팅,복리후생비,공적금,복리후생비_공적금,"5,621.00","5,621.00","5,621.00","5,621.00","5,621.00","5,621.00","5,621.00","9,047.00","7,334.00","7,334.00"
KIDS,마케팅,복리후생비,사회보험,복리후생비_사회보험,"12,037.45","12,037.45","12,037.45","12,037.45","12,037.45","12,037.45","12,037.45","19,373.95","15,705.70","15,705.70"
KIDS,마케팅,수주회,수주회,광고비_수주회,"351,519.66",0,0,0,0,0,"305,030.41",0,"52,497.10",0
KIDS,마케팅,인건비,"급여,성과급",인건비,"104,797.00","59,884.00","51,768.58","62,078.07","62,078.07","62,894.88","62,078.07","65,289.77","57,559.46","61,261.25"
KIDS,마케팅,출장비,국내출장비,여비교통비_국내출장비,0,0,0,"8,427.36",168,0,0,187,0,587
KIDS,온라인,복리후생비,공적금,복리후생비_공적금,"12,108.00","12,108.00","12,108.00","12,108.00","12,108.00","12,108.00","12,108.00","16,290.00","11,171.00","12,911.00"
KIDS,온라인,복리후생비,사회보험,복리후생비_사회보험,"25,932.49","25,932.49","25,932.49","25,932.49","25,932.49","25,932.49","25,932.49","34,886.33","23,924.09","27,650.59"
KIDS,온라인,인건비,"급여,성과급",인건비,"191,470.54","127,465.41","-11,765.13","152,015.33","123,545.60","125,171.20","146,735.37","127,465.69","92,751.41","127,859.94"
KIDS,인테리어,복리후생비,공적금,복리후생비_공적금,"2,544.00","2,544.00","2,544.00","2,544.00","2,544.00",0,0,0,0,0
KIDS,인테리어,복리후생비,사회보험,복리후생비_사회보험,"5,446.77","5,446.77","5,446.77","5,446.77","5,446.77",0,0,0,0,0
KIDS,인테리어,인건비,"급여,성과급",인건비,"41,314.00","23,608.00","-30,681.86","23,324.40","43,812.62",0,0,0,0,0
